Company,Company Link,Country,City,Relocation Status,Relocation status now,Source,Source Link,Last updated
Altoros,,"Poland, Georgia, Turkey, Armenia, Montenegro, ",All cities in those countries,Relocates,"Relocates now, interview + relocation process is fast, takes 2 weeks",Recruiter ,,13.05.22
Cheeze Inc.,,"Turkey, ",Istanbul,Relocates,Relocates now,Recruiter,,02.04.22
Findmykids,https://findmykids.org/en/career,"Georgia, Turkey, Armenia, Kazakhstan, ","Almaty, Tbilisi, Istanbul",Relocates,Still relocates,Recruiter ,,30.10.22
Joygame,,"Turkey, ",Istanbul,Relocates,Still relocates,Recruiter ,,11.04.22
Holland&Barrett,https://www.hollandandbarrettjobs.com/jobs/roles/technology/,"Turkey, ","Istanbul, Turkey; other non-RU",Relocates,"Interview takes 1 week, relocation takes ~3weeks",Referral ,,25.06.22
LegionFarm,,"Turkey, ",Instanbul,Relocates,Still relocates,Recruiter,,11.04.22
Mixbytes,,"United, Cyprus, Turkey, ","Dubai, Nicosia, Istanbul",Relocates,"Still relocates, also can relocat to EU",Recruiter ,,11.04.22
Placid,,"Turkey, Georgia, Armenia, ","Istambul, Tbilisi, Yerevan",Relocates to the countries as well as South-East Asia,Still relocates,Recruiter,,02.04.22
PolkaPad,,"Turkey, Armenia, ","Istambul, Yerevan",Relocates,Still relocates,Recruiter,,02.04.22
Postgres.ai,,"United, United, Turkey, ","New York, London",Relocates to Turkey,Still relocates,Recruiter join@postgres.ai,,28.03.22
Prequel,,"Turkey, Georgia, ","Istanbul, Tbilisi",Relocates,Still relocates,Recruiter,,02.04.22
Semrush,,"Germany, Turkey, Armenia, Poland, Spain, ","Berlin, Yerevan, Istambul, Warsaw, Barcelona",Relocates,"<a>Still relocates, process may be fast</a>",Recruiter,,02.04.22
Superdao,,"Turkey, Georgia, Armenia, ","Istambul, Tbilisi, Yerevan",Relocates,Still relocates,Referral ,,24.03.22
Tomi.ai,,"Mexico, Kazakhstan, Montenegro, Turkey, Georgia, Armenia, Cyprus, ","Mexico City, Nursultan, Podgorica, Istanbul, Tbilisi, Yerevan, Limassol",Relocates,Relocates now,Recruiter,,02.04.22
